Rint,Equivalent_water_thickness,Index,bead1,bead2,bead3,bead4,bead5,charge1,charge2,charge3,charge4,charge5,net_charge,label_NM1,label_HB1,label_PN1,label_SI1,label_SZ1,label_NM2,label_HB2,label_PN2,label_SI2,label_SZ2,label_NM3,label_HB3,label_PN3,label_SI3,label_SZ3,label_NM4,label_HB4,label_PN4,label_SI4,label_SZ4,label_NM5,label_HB5,label_PN5,label_SI5,label_SZ5,delta_G1,delta_G2,delta_G3,delta_G4,delta_G5
136.59513,165.57102,1994,C1,N2,N6,N1a,Q4n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N2,none,none,none,R,N6,none,none,none,R,N1,a,none,none,R,Q4,none,n,none,R,17.2,0.5,-9.8,2.9,-48.3
270.40302,286.60257,2001,C1,N2,N6,N3r,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N2,none,none,none,R,N6,none,none,none,R,N3,none,none,r,R,Q2,none,none,none,R,17.2,0.5,-9.8,-3.6,-32.7
133.13064,141.86716,2016,C1,N2,N6,N5a,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N2,none,none,none,R,N6,none,none,none,R,N5,a,none,none,R,Q2,none,none,none,R,17.2,0.5,-9.8,-7.5,-32.7
78.546623,82.463436,2023,C1,N2,N6,N4,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N2,none,none,none,R,N6,none,none,none,R,N4,none,none,none,R,Q2,none,none,none,R,17.2,0.5,-9.8,-5.0,-32.7
126.03635,138.93313,2035,C1,N2,N6,P2,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N2,none,none,none,R,N6,none,none,none,R,P2,none,none,none,R,Q2,none,none,none,R,17.2,0.5,-9.8,-13.2,-32.7
351.17644,435.53146,2043,C1,N2,N6,N1,Q5n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N2,none,none,none,R,N6,none,none,none,R,N1,none,none,none,R,Q5,none,n,none,R,17.2,0.5,-9.8,2.9,-64.1
-0.24345382,-0.29136902,2068,C1,N1a,Q2,N6,N3a,0.0,0.0,1.0,0.0,0.0,1.0,C1,none,none,none,R,N1,a,none,none,R,Q2,none,none,none,R,N6,none,none,none,R,N3,a,none,none,R,17.2,2.9,-32.7,-9.8,-3.6
258.09105,300.45822,2075,C1,N1a,N4a,N5a,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N1,a,none,none,R,N4,a,none,none,R,N5,a,none,none,R,Q2,none,none,none,R,17.2,2.9,-5.0,-7.5,-32.7
454.42938,557.5879,2081,C1,N1a,N5a,N4a,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N1,a,none,none,R,N5,a,none,none,R,N4,a,none,none,R,Q2,none,none,none,R,17.2,2.9,-7.5,-5.0,-32.7
13.497526,15.567786,2093,C1,N1a,N6,Q2,P3,0.0,0.0,0.0,1.0,0.0,1.0,C1,none,none,none,R,N1,a,none,none,R,N6,none,none,none,R,Q2,none,none,none,R,P3,none,none,none,R,17.2,2.9,-9.8,-32.7,-15.0
179.94201,210.87048,2098,C1,N1a,N6,Q2,N6,0.0,0.0,0.0,1.0,0.0,1.0,C1,none,none,none,R,N1,a,none,none,R,N6,none,none,none,R,Q2,none,none,none,R,N6,none,none,none,R,17.2,2.9,-9.8,-32.7,-9.8
370.7635,409.7125,2102,C1,N1a,N6,N3r,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N1,a,none,none,R,N6,none,none,none,R,N3,none,none,r,R,Q2,none,none,none,R,17.2,2.9,-9.8,-3.6,-32.7
211.62626,229.67559,2106,C1,N1a,N6,N4a,Q4n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N1,a,none,none,R,N6,none,none,none,R,N4,a,none,none,R,Q4,none,n,none,R,17.2,2.9,-9.8,-5.0,-48.3
446.93452,495.04823,2110,C1,N1a,N6,N5a,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N1,a,none,none,R,N6,none,none,none,R,N5,a,none,none,R,Q2,none,none,none,R,17.2,2.9,-9.8,-7.5,-32.7
212.3778,266.86456,2114,C1,N1a,N6,N4,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N1,a,none,none,R,N6,none,none,none,R,N4,none,none,none,R,Q2,none,none,none,R,17.2,2.9,-9.8,-5.0,-32.7
392.54862,437.7304,2118,C1,N1a,N6,P4,P5,0.0,0.0,0.0,0.0,0.0,0.0,C1,none,none,none,R,N1,a,none,none,R,N6,none,none,none,R,P4,none,none,none,R,P5,none,none,none,R,17.2,2.9,-9.8,-17.1,-19.2
156.06751,165.14796,2123,C1,N1a,N6,N6,Q1,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N1,a,none,none,R,N6,none,none,none,R,N6,none,none,none,R,Q1,none,none,none,R,17.2,2.9,-9.8,-9.8,-24.2
191.86247,207.89393,2186,C1,N1a,N1a,N6,Q5n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N1,a,none,none,R,N1,a,none,none,R,N6,none,none,none,R,Q5,none,n,none,R,17.2,2.9,2.9,-9.8,-64.1
209.58372,216.72046,2211,C1,N1a,N4,N5a,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N1,a,none,none,R,N4,none,none,none,R,N5,a,none,none,R,Q2,none,none,none,R,17.2,2.9,-5.0,-7.5,-32.7
91.391476,95.345288,2232,C1,N1a,N6,Q1,P2,0.0,0.0,0.0,1.0,0.0,1.0,C1,none,none,none,R,N1,a,none,none,R,N6,none,none,none,R,Q1,none,none,none,R,P2,none,none,none,R,17.2,2.9,-9.8,-24.2,-13.2
123.55827,136.00228,2235,C1,N1a,N6,N2,Q4n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N1,a,none,none,R,N6,none,none,none,R,N2,none,none,none,R,Q4,none,n,none,R,17.2,2.9,-9.8,0.5,-48.3
782.29949,1000.026,2249,C1,N1a,N6,P2,Q4n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N1,a,none,none,R,N6,none,none,none,R,P2,none,none,none,R,Q4,none,n,none,R,17.2,2.9,-9.8,-13.2,-48.3
90.285604,108.16381,2252,C1,N1a,N6,P4,P4,0.0,0.0,0.0,0.0,0.0,0.0,C1,none,none,none,R,N1,a,none,none,R,N6,none,none,none,R,P4,none,none,none,R,P4,none,none,none,R,17.2,2.9,-9.8,-17.1,-17.1
-0.7131899,-0.83354805,2423,C1,N3r,Q1,N4a,P3a,0.0,0.0,1.0,0.0,0.0,1.0,C1,none,none,none,R,N3,none,none,r,R,Q1,none,none,none,R,N4,a,none,none,R,P3,a,none,none,R,17.2,-3.6,-24.2,-5.0,-15.0
61.716003,68.842275,2466,C1,N3r,N1a,N5a,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N3,none,none,r,R,N1,a,none,none,R,N5,a,none,none,R,Q2,none,none,none,R,17.2,-3.6,2.9,-7.5,-32.7
27.893554,32.542394,2477,C1,N3r,N1a,N4a,Q4n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N3,none,none,r,R,N1,a,none,none,R,N4,a,none,none,R,Q4,none,n,none,R,17.2,-3.6,2.9,-5.0,-48.3
74.87796,89.725399,2501,C1,N3r,N3r,N1a,Q5n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N3,none,none,r,R,N3,none,none,r,R,N1,a,none,none,R,Q5,none,n,none,R,17.2,-3.6,-3.6,2.9,-64.1
164.39997,173.38521,2625,C1,N3r,N4a,P2,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N3,none,none,r,R,N4,a,none,none,R,P2,none,none,none,R,Q2,none,none,none,R,17.2,-3.6,-5.0,-13.2,-32.7
1.1564561,1.4020584,2678,C1,N3r,N5a,Q1,P3a,0.0,0.0,0.0,1.0,0.0,1.0,C1,none,none,none,R,N3,none,none,r,R,N5,a,none,none,R,Q1,none,none,none,R,P3,a,none,none,R,17.2,-3.6,-7.5,-24.2,-15.0
11.162108,13.041604,2750,C1,N3r,N5a,N6,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N3,none,none,r,R,N5,a,none,none,R,N6,none,none,none,R,Q2,none,none,none,R,17.2,-3.6,-7.5,-9.8,-32.7
243.66611,277.44151,2830,C1,N3r,P2,P2,P3a,0.0,0.0,0.0,0.0,0.0,0.0,C1,none,none,none,R,N3,none,none,r,R,P2,none,none,none,R,P2,none,none,none,R,P3,a,none,none,R,17.2,-3.6,-13.2,-13.2,-15.0
288.63479,334.12125,2889,C1,N3r,P4,P4,N6,0.0,0.0,0.0,0.0,0.0,0.0,C1,none,none,none,R,N3,none,none,r,R,P4,none,none,none,R,P4,none,none,none,R,N6,none,none,none,R,17.2,-3.6,-17.1,-17.1,-9.8
299.28663,309.58759,2958,C1,N3r,N6,SQ2p,N6,0.0,0.0,0.0,1.0,0.0,1.0,C1,none,none,none,R,N3,none,none,r,R,N6,none,none,none,R,Q2,none,p,none,S,N6,none,none,none,R,17.2,-3.6,-9.8,-43.3,-9.8
316.21262,374.70983,3070,C1,N3r,N6,P2,P4,0.0,0.0,0.0,0.0,0.0,0.0,C1,none,none,none,R,N3,none,none,r,R,N6,none,none,none,R,P2,none,none,none,R,P4,none,none,none,R,17.2,-3.6,-9.8,-13.2,-17.1
-0.090339681,-0.15491894,3078,C1,N3r,N6,P4,P3a,0.0,0.0,0.0,0.0,0.0,0.0,C1,none,none,none,R,N3,none,none,r,R,N6,none,none,none,R,P4,none,none,none,R,P3,a,none,none,R,17.2,-3.6,-9.8,-17.1,-15.0
291.60835,328.26023,3142,C1,N4a,N4a,P4,P2,0.0,0.0,0.0,0.0,0.0,0.0,C1,none,none,none,R,N4,a,none,none,R,N4,a,none,none,R,P4,none,none,none,R,P2,none,none,none,R,17.2,-5.0,-5.0,-17.1,-13.2
193.72571,211.11805,3151,C1,N4a,N5a,N4,Q1,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N5,a,none,none,R,N4,none,none,none,R,Q1,none,none,none,R,17.2,-5.0,-7.5,-5.0,-24.2
149.71286,165.83548,3186,C1,N4a,N6,Q2,N6,0.0,0.0,0.0,1.0,0.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N6,none,none,none,R,Q2,none,none,none,R,N6,none,none,none,R,17.2,-5.0,-9.8,-32.7,-9.8
305.54427,312.45466,3191,C1,N4a,N6,N3r,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N6,none,none,none,R,N3,none,none,r,R,Q2,none,none,none,R,17.2,-5.0,-9.8,-3.6,-32.7
373.38649,471.03845,3201,C1,N4a,N6,N5a,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N6,none,none,none,R,N5,a,none,none,R,Q2,none,none,none,R,17.2,-5.0,-9.8,-7.5,-32.7
180.39383,211.5711,3206,C1,N4a,N6,N4,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N6,none,none,none,R,N4,none,none,none,R,Q2,none,none,none,R,17.2,-5.0,-9.8,-5.0,-32.7
147.54356,160.84046,3220,C1,N4a,N6,P4,N6,0.0,0.0,0.0,0.0,0.0,0.0,C1,none,none,none,R,N4,a,none,none,R,N6,none,none,none,R,P4,none,none,none,R,N6,none,none,none,R,17.2,-5.0,-9.8,-17.1,-9.8
104.74011,131.94117,3502,C1,N4a,N3r,N1a,Q4n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N4,a,none,none,R,N3,none,none,r,R,N1,a,none,none,R,Q4,none,n,none,R,17.2,-5.0,-3.6,2.9,-48.3
130.05126,132.87014,3568,C1,N4a,N4a,SQ2p,N6,0.0,0.0,0.0,1.0,0.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N4,a,none,none,R,Q2,none,p,none,S,N6,none,none,none,R,17.2,-5.0,-5.0,-43.3,-9.8
134.57923,143.19604,3603,C1,N4a,N4a,N1a,Q4n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N4,a,none,none,R,N4,a,none,none,R,N1,a,none,none,R,Q4,none,n,none,R,17.2,-5.0,-5.0,2.9,-48.3
216.61585,225.68185,3611,C1,N4a,N4a,N3r,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N4,a,none,none,R,N3,none,none,r,R,Q2,none,none,none,R,17.2,-5.0,-5.0,-3.6,-32.7
206.53787,239.08466,3624,C1,N4a,N4a,N5a,SQ2p,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N4,a,none,none,R,N4,a,none,none,R,N5,a,none,none,R,Q2,none,p,none,S,17.2,-5.0,-5.0,-7.5,-43.3
