smiles,bead_combined,delta_G_head_sum,prediction,positive,negative
CCCCCCCCCCCC[NH2+]COC(=O)COCOc4ccc(C)cc4,SQ3p-N4a-N3r-N6,66.2,0,0.9879760146141052,0.0120239928364753
CCCCCCCCCCCC[NH2+]COC(=O)COC(=O)COc4ccc(C)cc4,SQ3p-N4a-N4a-N6,67.6,0,0.986086130142212,0.0139138624072074
CCCCCCCCCCCC[NH2+]COC(=O)CC(=O)COc4ccc(C)cc4,SQ3p-N4a-N5a-N6,70.1,0,0.9749757051467896,0.0250243227928876
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(CC(=O)Cl)cc3,SQ3p-N4a-N6-N2ah,62.1,0,0.9893642663955688,0.0106356684118509
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(CC#N)cc3,SQ3p-N4a-N6-N2a,62.1,0,0.9487573504447936,0.0512426905333995
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(CC=O)cc3,SQ3p-N4a-N6-N5a,70.1,0,0.9889456629753112,0.0110543658956885
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(CN)cc3,SQ3p-N4a-N6-N6d,72.39999999999999,0,0.9900656938552856,0.009934289380908
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(CO)cc3,SQ3p-N4a-N6-P1,73.69999999999999,0,0.9900656938552856,0.009934289380908
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(CC(=O)N)cc3,SQ3p-N4a-N6-P5,81.8,0,0.9832504391670228,0.0167495328933
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(CC(=O)NC)cc3,SQ3p-N4a-N6-P3,77.6,0,0.9916817545890808,0.0083183161914348
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(CC(=O)N(C)C)cc3,SQ3p-N4a-N6-P3a,77.6,0,0.9933846592903136,0.0066153616644442
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(CC(=O)O)cc3,SQ3p-N4a-N6-P2,75.8,0,0.9832504391670228,0.0167495328933
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(COC)cc3,SQ3p-N4a-N6-N3r,66.19999999999999,0,0.9895616173744202,0.0104383211582899
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(CC(=O)OC)cc3,SQ3p-N4a-N6-N4a,67.6,0,0.9916817545890808,0.0083183161914348
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(COC(=O)C)cc3,SQ3p-N4a-N6-N4a,67.6,0,0.9829211831092834,0.0170788578689098
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(CC(=O)C)cc3,SQ3p-N4a-N6-N5a,70.1,0,0.9893642663955688,0.0106356684118509
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(CNC)cc3,SQ3p-N4a-N6-N4,67.6,0,0.9895616173744202,0.0104383211582899
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(CN(C)C)cc3,SQ3p-N4a-N6-N3a,66.19999999999999,0,0.989224135875702,0.0107758725062012
CCCCCCCCCCCC[NH2+]COC(=O)COc3ccc(COc4ccc(C)cc4)cc3,SQ3p-N4a-N6-N6,72.39999999999999,0,0.994149684906006,0.0058503770269453
CCCCCCCCCCCC[NH2+]CC(=O)COCOc4ccc(C)cc4,SQ3p-N5a-N3r-N6,68.7,0,0.9348317384719848,0.0651683062314987
CCCCCCCCCCCC[NH2+]CC(=O)CC(=O)OCOc4ccc(C)cc4,SQ3p-N5a-N4a-N6,70.1,0,0.9727798104286194,0.0272202026098966
CCCCCCCCCCCC[NH2+]CC(=O)COC(=O)COc4ccc(C)cc4,SQ3p-N5a-N4a-N6,70.1,0,0.9670708179473876,0.0329292267560958
CCCCCCCCCCCC[NH2+]CC(=O)CC(=O)COc4ccc(C)cc4,SQ3p-N5a-N5a-N6,72.6,0,0.9470118284225464,0.0529881343245506
CCCCCCCCCCCC[NH2+]CC(=O)COc3ccc(CC(=O)Cl)cc3,SQ3p-N5a-N6-N2ah,64.6,0,0.9377682209014891,0.062231782823801
CCCCCCCCCCCC[NH2+]CC(=O)COc3ccc(CC#N)cc3,SQ3p-N5a-N6-N2a,64.6,0,0.8611090779304504,0.1388908773660659
CCCCCCCCCCCC[NH2+]CC(=O)COc3ccc(CN)cc3,SQ3p-N5a-N6-N6d,74.89999999999999,0,0.9429286122322084,0.0570714250206947
CCCCCCCCCCCC[NH2+]CC(=O)COc3ccc(CO)cc3,SQ3p-N5a-N6-P1,76.19999999999999,0,0.9429286122322084,0.0570714250206947
CCCCCCCCCCCC[NH2+]CC(=O)COc3ccc(CC(=O)N)cc3,SQ3p-N5a-N6-P5,84.3,0,0.9411907196044922,0.0588093027472496
CCCCCCCCCCCC[NH2+]CC(=O)COc3ccc(CC(=O)NC)cc3,SQ3p-N5a-N6-P3,80.1,0,0.9496247172355652,0.0503752417862415
CCCCCCCCCCCC[NH2+]CC(=O)COc3ccc(CC(=O)N(C)C)cc3,SQ3p-N5a-N6-P3a,80.1,0,0.9547742009162904,0.0452257804572582
CCCCCCCCCCCC[NH2+]CC(=O)COc3ccc(CC(=O)O)cc3,SQ3p-N5a-N6-P2,78.3,0,0.9411907196044922,0.0588093027472496
CCCCCCCCCCCC[NH2+]CC(=O)COc3ccc(COC)cc3,SQ3p-N5a-N6-N3r,68.69999999999999,0,0.941044270992279,0.05895571783185
CCCCCCCCCCCC[NH2+]CC(=O)COc3ccc(CC(=O)OC)cc3,SQ3p-N5a-N6-N4a,70.1,0,0.9496247172355652,0.0503752529621124
CCCCCCCCCCCC[NH2+]CC(=O)COc3ccc(COC(=O)C)cc3,SQ3p-N5a-N6-N4a,70.1,0,0.9415534138679504,0.0584466010332107
CCCCCCCCCCCC[NH2+]CC(=O)COc3ccc(CC(=O)C)cc3,SQ3p-N5a-N6-N5a,72.6,0,0.9377682209014891,0.062231782823801
CCCCCCCCCCCC[NH2+]CC(=O)COc3ccc(CNC)cc3,SQ3p-N5a-N6-N4,70.1,0,0.941044270992279,0.05895571783185
CCCCCCCCCCCC[NH2+]CC(=O)COc3ccc(CN(C)C)cc3,SQ3p-N5a-N6-N3a,68.69999999999999,0,0.9423084855079652,0.0576915256679058
CCCCCCCCCCCC[NH2+]CC(=O)COc3ccc(COc4ccc(C)cc4)cc3,SQ3p-N5a-N6-N6,74.89999999999999,0,0.9667490124702454,0.0332509577274322
CCCCCCCCCCCC[NH2+]CNCC(=O)OCOc4ccc(C)cc4,SQ3p-N4-N4a-N6,67.6,0,0.9869269728660583,0.0130729926750063
CCCCCCCCCCCC[NH2+]CNCOC(=O)COc4ccc(C)cc4,SQ3p-N4-N4a-N6,67.6,0,0.98688006401062,0.0131198754534125
CCCCCCCCCCCC[NH2+]CNCC(=O)COc4ccc(C)cc4,SQ3p-N4-N5a-N6,70.1,0,0.9232134222984314,0.076786570250988
CCCCCCCCCCCC[NH2+]CNCOc3ccc(CO)cc3,SQ3p-N4-N6-P1,73.69999999999999,0,0.9589937329292296,0.0410062372684478
CCCCCCCCCCCC[NH2+]CNCOc3ccc(CC(=O)NC)cc3,SQ3p-N4-N6-P3,77.6,0,0.9653181433677672,0.0346818901598453
CCCCCCCCCCCC[NH2+]CNCOc3ccc(CC(=O)O)cc3,SQ3p-N4-N6-P2,75.8,0,0.9343859553337096,0.0656140446662902
CCCCCCCCCCCC[NH2+]CNCOc3ccc(COC)cc3,SQ3p-N4-N6-N3r,66.19999999999999,0,0.951175093650818,0.0488249771296978
CCCCCCCCCCCC[NH2+]CNCOc3ccc(CC(=O)OC)cc3,SQ3p-N4-N6-N4a,67.6,0,0.9653181433677672,0.0346818901598453
CCCCCCCCCCCC[NH2+]CNCOc3ccc(COC(=O)C)cc3,SQ3p-N4-N6-N4a,67.6,0,0.933949053287506,0.066050998866558
CCCCCCCCCCCC[NH2+]CNCOc3ccc(CNC)cc3,SQ3p-N4-N6-N4,67.6,0,0.951175093650818,0.0488249771296978
CCCCCCCCCCCC[NH2+]CNCOc3ccc(CN(C)C)cc3,SQ3p-N4-N6-N3a,66.19999999999999,0,0.9507558345794678,0.0492441430687904
CCCCCCCCCCCC[NH2+]CNCOc3ccc(COc4ccc(C)cc4)cc3,SQ3p-N4-N6-N6,72.39999999999999,0,0.9826337695121764,0.0173661895096302
CCCCCCCCCCCC[NH2+]CN(C)CC(=O)OCOc4ccc(C)cc4,SQ3p-N3a-N4a-N6,66.2,0,0.969363808631897,0.0306361950933933
CCCCCCCCCCCC[NH2+]CN(C)COC(=O)COc4ccc(C)cc4,SQ3p-N3a-N4a-N6,66.2,0,0.9686919450759888,0.0313080847263336
CCCCCCCCCCCC[NH2+]CN(C)CC(=O)COc4ccc(C)cc4,SQ3p-N3a-N5a-N6,68.7,0,0.8932148814201355,0.106785163283348
CCCCCCCCCCCC[NH2+]CN(C)COc3ccc(CC(=O)O)cc3,SQ3p-N3a-N6-P2,74.4,0,0.9343826174736024,0.0656173154711723
CCCCCCCCCCCC[NH2+]CN(C)COc3ccc(COC)cc3,SQ3p-N3a-N6-N3r,64.8,0,0.9497167468070984,0.0502831749618053
CCCCCCCCCCCC[NH2+]CN(C)COc3ccc(CC(=O)OC)cc3,SQ3p-N3a-N6-N4a,66.2,0,0.9650503993034364,0.034949641674757
CCCCCCCCCCCC[NH2+]CN(C)COc3ccc(COC(=O)C)cc3,SQ3p-N3a-N6-N4a,66.2,0,0.9330430030822754,0.0669569745659828
CCCCCCCCCCCC[NH2+]CN(C)COc3ccc(COc4ccc(C)cc4)cc3,SQ3p-N3a-N6-N6,71.0,0,0.9715422987937928,0.0284576565027236
CCCCCCCCCCCC[NH2+]CC(O)=COc3ccc(COc4ccc(C)cc4)cc3,SQ3p-P2-N6-N6,80.6,0,0.8305394053459167,0.1694606393575668
CCCCCCCCCCCC[NH2+]C=C(O)COC(=O)COc4ccc(C)cc4,SQ3p-P2-N4a-N6,75.8,0,0.714004397392273,0.2859955430030823
CCCCCCCCCCCC[NH2+]C=C(O)COc3ccc(CO)cc3,SQ3p-P2-N6-P1,81.89999999999999,0,0.6747137308120728,0.3252862989902496
CCCCCCCCCCCC[NH2+]C=C(O)COc3ccc(CC(=O)NC)cc3,SQ3p-P2-N6-P3,85.8,0,0.74014812707901,0.2598519027233124
CCCCCCCCCCCC[NH2+]C=C(O)COc3ccc(CC(=O)O)cc3,SQ3p-P2-N6-P2,84.0,0,0.689365029335022,0.3106349408626556
